id,clima,pais,dinheiro,decisao,clima_cod,pais_cod,dinheiro_cod,ruido
147,Sol,Sim,Pobre,Cinema,0,1,0,0
148,Chuva,Sim,Pobre,Cinema,2,1,0,0
149,Vento,Sim,Pobre,Cinema,1,1,0,0
150,Sol,Nao,Rico,Tenis,0,0,1,0
151,Vento,Nao,Rico,Compras,1,0,1,0
152,Vento,Nao,Rico,Compras,1,0,1,0
153,Sol,Sim,Rico,Cinema,0,1,1,0
154,Chuva,Sim,Rico,Cinema,2,1,1,0
155,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
156,Sol,Sim,Rico,Cinema,0,1,1,0
157,Sol,Nao,Rico,Tenis,0,0,1,0
158,Vento,Nao,Rico,Compras,1,0,1,0
159,Vento,Nao,Rico,Compras,1,0,1,0
160,Vento,Sim,Rico,Cinema,1,1,1,0
161,Vento,Nao,Rico,Ficar em casa,1,0,1,1
162,Vento,Sim,Pobre,Cinema,1,1,0,0
163,Sol,Sim,Rico,Cinema,0,1,1,0
164,Vento,Nao,Pobre,Cinema,1,0,0,0
165,Chuva,Sim,Rico,Cinema,2,1,1,0
166,Vento,Sim,Pobre,Cinema,1,1,0,0
167,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
168,Sol,Nao,Rico,Tenis,0,0,1,0
169,Vento,Sim,Rico,Cinema,1,1,1,0
170,Sol,Nao,Rico,Tenis,0,0,1,0
171,Sol,Nao,Rico,Tenis,0,0,1,0
172,Sol,Sim,Rico,Cinema,0,1,1,0
173,Sol,Sim,Rico,Cinema,0,1,1,0
174,Vento,Nao,Pobre,Cinema,1,0,0,0
175,Vento,Sim,Rico,Cinema,1,1,1,0
176,Vento,Sim,Rico,Cinema,1,1,1,0
177,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
178,Vento,Nao,Rico,Ficar em casa,1,0,1,1
179,Chuva,Nao,Pobre,Cinema,2,0,0,0
180,Vento,Sim,Rico,Cinema,1,1,1,0
181,Vento,Nao,Pobre,Cinema,1,0,0,0
182,Vento,Sim,Rico,Cinema,1,1,1,0
183,Vento,Sim,Rico,Cinema,1,1,1,0
184,Chuva,Sim,Rico,Cinema,2,1,1,0
185,Sol,Nao,Pobre,Cinema,0,0,0,0
186,Sol,Nao,Rico,Ficar em casa,0,0,1,1
187,Vento,Nao,Rico,Compras,1,0,1,0
188,Sol,Nao,Pobre,Cinema,0,0,0,0
189,Vento,Sim,Pobre,Cinema,1,1,0,0
190,Sol,Sim,Rico,Cinema,0,1,1,0
191,Sol,Nao,Pobre,Cinema,0,0,0,0
192,Sol,Nao,Rico,Tenis,0,0,1,0
193,Vento,Sim,Pobre,Cinema,1,1,0,0
194,Sol,Nao,Rico,Tenis,0,0,1,0
195,Vento,Nao,Pobre,Cinema,1,0,0,0
196,Chuva,Sim,Pobre,Cinema,2,1,0,0
197,Chuva,Sim,Rico,Cinema,2,1,1,0
198,Chuva,Sim,Rico,Cinema,2,1,1,0
199,Vento,Nao,Rico,Compras,1,0,1,0
200,Vento,Sim,Rico,Cinema,1,1,1,0
201,Sol,Nao,Rico,Tenis,0,0,1,0
202,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
203,Chuva,Nao,Rico,Compras,2,0,1,1
204,Chuva,Sim,Rico,Cinema,2,1,1,0
205,Sol,Nao,Rico,Tenis,0,0,1,0
206,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
207,Sol,Nao,Rico,Tenis,0,0,1,0
208,Vento,Nao,Rico,Compras,1,0,1,0
209,Vento,Nao,Rico,Compras,1,0,1,0
210,Vento,Sim,Rico,Cinema,1,1,1,0
211,Sol,Sim,Pobre,Cinema,0,1,0,0
212,Chuva,Sim,Rico,Cinema,2,1,1,0
213,Sol,Sim,Rico,Cinema,0,1,1,0
214,Vento,Sim,Rico,Cinema,1,1,1,0
215,Sol,Sim,Rico,Cinema,0,1,1,0
216,Vento,Sim,Rico,Cinema,1,1,1,0
217,Vento,Sim,Rico,Cinema,1,1,1,0
218,Vento,Sim,Rico,Compras,1,1,1,1
219,Chuva,Sim,Pobre,Cinema,2,1,0,0
220,Vento,Sim,Pobre,Cinema,1,1,0,0
221,Sol,Sim,Rico,Cinema,0,1,1,0
222,Vento,Sim,Pobre,Cinema,1,1,0,0
223,Sol,Nao,Pobre,Cinema,0,0,0,0
224,Chuva,Nao,Pobre,Cinema,2,0,0,0
225,Chuva,Sim,Pobre,Cinema,2,1,0,0
226,Sol,Sim,Pobre,Cinema,0,1,0,0
227,Vento,Sim,Rico,Cinema,1,1,1,0
228,Sol,Nao,Rico,Tenis,0,0,1,0
229,Sol,Nao,Rico,Tenis,0,0,1,0
230,Sol,Nao,Pobre,Cinema,0,0,0,0
231,Vento,Sim,Rico,Cinema,1,1,1,0
232,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
233,Chuva,Sim,Rico,Cinema,2,1,1,0
234,Sol,Nao,Rico,Tenis,0,0,1,0
235,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
236,Sol,Sim,Rico,Cinema,0,1,1,0
237,Sol,Sim,Rico,Cinema,0,1,1,0
238,Vento,Sim,Rico,Cinema,1,1,1,0
239,Vento,Nao,Rico,Compras,1,0,1,0
240,Vento,Nao,Rico,Compras,1,0,1,0
241,Sol,Sim,Pobre,Cinema,0,1,0,0
242,Sol,Nao,Rico,Tenis,0,0,1,0
243,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
244,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
245,Vento,Nao,Rico,Compras,1,0,1,0
246,Sol,Sim,Rico,Cinema,0,1,1,0
247,Chuva,Sim,Pobre,Cinema,2,1,0,0
248,Sol,Sim,Pobre,Cinema,0,1,0,0
249,Chuva,Sim,Rico,Cinema,2,1,1,0
250,Chuva,Sim,Rico,Cinema,2,1,1,0
251,Chuva,Sim,Pobre,Cinema,2,1,0,0
252,Vento,Nao,Rico,Compras,1,0,1,0
253,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
254,Chuva,Nao,Pobre,Cinema,2,0,0,0
255,Chuva,Sim,Rico,Cinema,2,1,1,0
256,Vento,Sim,Rico,Cinema,1,1,1,0
257,Vento,Sim,Rico,Cinema,1,1,1,0
258,Vento,Nao,Rico,Compras,1,0,1,0
259,Vento,Nao,Pobre,Cinema,1,0,0,0
260,Vento,Nao,Rico,Compras,1,0,1,0
261,Chuva,Sim,Rico,Cinema,2,1,1,0
262,Vento,Nao,Rico,Compras,1,0,1,0
263,Sol,Nao,Rico,Tenis,0,0,1,0
264,Vento,Nao,Rico,Compras,1,0,1,0
265,Vento,Nao,Rico,Compras,1,0,1,0
266,Chuva,Nao,Pobre,Cinema,2,0,0,0
267,Chuva,Sim,Pobre,Cinema,2,1,0,0
268,Chuva,Sim,Rico,Cinema,2,1,1,0
269,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
270,Sol,Sim,Pobre,Cinema,0,1,0,0
271,Sol,Sim,Pobre,Cinema,0,1,0,0
272,Vento,Sim,Pobre,Cinema,1,1,0,0
273,Vento,Nao,Rico,Compras,1,0,1,0
274,Vento,Sim,Rico,Cinema,1,1,1,0
275,Vento,Nao,Rico,Compras,1,0,1,0
276,Sol,Sim,Rico,Cinema,0,1,1,0
277,Vento,Nao,Rico,Compras,1,0,1,0
278,Vento,Nao,Rico,Compras,1,0,1,0
279,Sol,Sim,Pobre,Cinema,0,1,0,0
280,Vento,Sim,Rico,Cinema,1,1,1,0
281,Sol,Nao,Pobre,Cinema,0,0,0,0
282,Vento,Sim,Rico,Cinema,1,1,1,0
283,Vento,Sim,Pobre,Cinema,1,1,0,0
284,Chuva,Sim,Pobre,Tenis,2,1,0,1
285,Sol,Nao,Rico,Tenis,0,0,1,0
286,Sol,Nao,Rico,Tenis,0,0,1,0
287,Sol,Nao,Rico,Tenis,0,0,1,0
288,Sol,Sim,Rico,Compras,0,1,1,1
289,Chuva,Nao,Pobre,Cinema,2,0,0,0
290,Sol,Sim,Rico,Cinema,0,1,1,0
291,Vento,Sim,Rico,Cinema,1,1,1,0
292,Vento,Sim,Pobre,Cinema,1,1,0,0
293,Vento,Sim,Rico,Cinema,1,1,1,0
294,Vento,Nao,Rico,Compras,1,0,1,0
295,Chuva,Sim,Pobre,Cinema,2,1,0,0
296,Vento,Sim,Rico,Cinema,1,1,1,0
297,Vento,Sim,Rico,Cinema,1,1,1,0
298,Chuva,Sim,Pobre,Ficar em casa,2,1,0,1
299,Sol,Nao,Pobre,Cinema,0,0,0,0
300,Chuva,Nao,Pobre,Cinema,2,0,0,0
301,Sol,Sim,Rico,Cinema,0,1,1,0
302,Vento,Sim,Pobre,Cinema,1,1,0,0
303,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
304,Vento,Nao,Rico,Compras,1,0,1,0
305,Vento,Sim,Rico,Cinema,1,1,1,0
306,Vento,Sim,Rico,Cinema,1,1,1,0
307,Vento,Sim,Rico,Cinema,1,1,1,0
308,Sol,Nao,Pobre,Cinema,0,0,0,0
309,Vento,Sim,Rico,Cinema,1,1,1,0
310,Chuva,Sim,Pobre,Cinema,2,1,0,0
311,Vento,Sim,Rico,Tenis,1,1,1,1
312,Chuva,Nao,Pobre,Cinema,2,0,0,0
313,Vento,Sim,Pobre,Cinema,1,1,0,0
314,Vento,Nao,Rico,Compras,1,0,1,0
315,Vento,Nao,Rico,Ficar em casa,1,0,1,1
316,Vento,Sim,Rico,Cinema,1,1,1,0
317,Sol,Nao,Rico,Tenis,0,0,1,0
318,Chuva,Sim,Rico,Cinema,2,1,1,0
319,Vento,Nao,Rico,Compras,1,0,1,0
320,Vento,Nao,Rico,Compras,1,0,1,0
321,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
322,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
323,Vento,Sim,Rico,Cinema,1,1,1,0
324,Sol,Nao,Rico,Tenis,0,0,1,0
325,Sol,Sim,Pobre,Cinema,0,1,0,0
326,Chuva,Nao,Pobre,Compras,2,0,0,1
327,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
328,Sol,Nao,Rico,Tenis,0,0,1,0
329,Chuva,Sim,Rico,Cinema,2,1,1,0
330,Chuva,Nao,Pobre,Cinema,2,0,0,0
331,Sol,Sim,Pobre,Cinema,0,1,0,0
332,Chuva,Sim,Rico,Cinema,2,1,1,0
333,Vento,Nao,Pobre,Cinema,1,0,0,0
334,Vento,Sim,Rico,Cinema,1,1,1,0
335,Chuva,Sim,Rico,Cinema,2,1,1,0
336,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
337,Sol,Sim,Rico,Cinema,0,1,1,0
338,Chuva,Sim,Pobre,Cinema,2,1,0,0
339,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
340,Vento,Sim,Rico,Cinema,1,1,1,0
341,Vento,Sim,Pobre,Cinema,1,1,0,0
342,Sol,Sim,Pobre,Cinema,0,1,0,0
343,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
344,Chuva,Sim,Rico,Cinema,2,1,1,0
345,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
346,Sol,Sim,Rico,Cinema,0,1,1,0
347,Vento,Sim,Pobre,Cinema,1,1,0,0
348,Vento,Nao,Rico,Compras,1,0,1,0
349,Sol,Sim,Rico,Cinema,0,1,1,0
350,Sol,Nao,Rico,Tenis,0,0,1,0
351,Chuva,Nao,Pobre,Cinema,2,0,0,0
352,Sol,Nao,Rico,Tenis,0,0,1,0
353,Vento,Nao,Rico,Cinema,1,0,1,1
354,Chuva,Nao,Pobre,Cinema,2,0,0,0
355,Vento,Sim,Rico,Cinema,1,1,1,0
356,Sol,Nao,Rico,Tenis,0,0,1,0
357,Vento,Nao,Rico,Compras,1,0,1,0
358,Vento,Sim,Rico,Cinema,1,1,1,0
359,Sol,Nao,Rico,Tenis,0,0,1,0
360,Vento,Sim,Pobre,Cinema,1,1,0,0
361,Vento,Nao,Pobre,Cinema,1,0,0,0
362,Sol,Sim,Pobre,Cinema,0,1,0,0
363,Chuva,Sim,Pobre,Cinema,2,1,0,0
364,Vento,Nao,Rico,Compras,1,0,1,0
365,Chuva,Sim,Rico,Cinema,2,1,1,0
366,Vento,Sim,Rico,Cinema,1,1,1,0
367,Vento,Nao,Rico,Compras,1,0,1,0
368,Vento,Sim,Pobre,Cinema,1,1,0,0
369,Chuva,Sim,Pobre,Cinema,2,1,0,0
370,Sol,Nao,Rico,Tenis,0,0,1,0
371,Vento,Nao,Rico,Compras,1,0,1,0
372,Chuva,Sim,Rico,Cinema,2,1,1,0
373,Vento,Sim,Rico,Cinema,1,1,1,0
374,Vento,Nao,Rico,Compras,1,0,1,0
375,Vento,Nao,Rico,Compras,1,0,1,0
376,Sol,Sim,Pobre,Cinema,0,1,0,0
377,Vento,Nao,Rico,Compras,1,0,1,0
378,Vento,Nao,Rico,Compras,1,0,1,0
379,Vento,Sim,Pobre,Cinema,1,1,0,0
380,Chuva,Sim,Rico,Cinema,2,1,1,0
381,Chuva,Sim,Rico,Ficar em casa,2,1,1,1
382,Sol,Sim,Rico,Cinema,0,1,1,0
383,Chuva,Sim,Rico,Cinema,2,1,1,0
384,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
385,Vento,Nao,Rico,Compras,1,0,1,0
386,Sol,Nao,Rico,Tenis,0,0,1,0
387,Chuva,Sim,Rico,Cinema,2,1,1,0
388,Vento,Sim,Rico,Compras,1,1,1,1
389,Vento,Sim,Pobre,Cinema,1,1,0,0
390,Vento,Sim,Pobre,Cinema,1,1,0,0
391,Chuva,Sim,Rico,Cinema,2,1,1,0
392,Sol,Sim,Pobre,Cinema,0,1,0,0
393,Chuva,Nao,Pobre,Cinema,2,0,0,0
394,Vento,Nao,Rico,Compras,1,0,1,0
395,Vento,Nao,Rico,Compras,1,0,1,0
396,Sol,Nao,Pobre,Cinema,0,0,0,0
397,Chuva,Nao,Pobre,Tenis,2,0,0,1
398,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
399,Vento,Nao,Rico,Compras,1,0,1,0
400,Vento,Nao,Rico,Compras,1,0,1,0
401,Chuva,Sim,Rico,Cinema,2,1,1,0
402,Sol,Sim,Rico,Cinema,0,1,1,0
403,Sol,Nao,Rico,Tenis,0,0,1,0
404,Vento,Sim,Pobre,Cinema,1,1,0,0
405,Sol,Sim,Rico,Cinema,0,1,1,0
406,Sol,Sim,Pobre,Cinema,0,1,0,0
407,Vento,Nao,Pobre,Cinema,1,0,0,0
408,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
409,Chuva,Sim,Pobre,Cinema,2,1,0,0
410,Sol,Sim,Rico,Cinema,0,1,1,0
411,Vento,Sim,Rico,Cinema,1,1,1,0
412,Chuva,Nao,Rico,Cinema,2,0,1,1
413,Vento,Nao,Pobre,Cinema,1,0,0,0
414,Vento,Sim,Rico,Cinema,1,1,1,0
415,Vento,Sim,Rico,Cinema,1,1,1,0
416,Sol,Nao,Rico,Tenis,0,0,1,0
417,Chuva,Sim,Pobre,Cinema,2,1,0,0
418,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
419,Vento,Sim,Rico,Cinema,1,1,1,0
420,Vento,Sim,Rico,Cinema,1,1,1,0
421,Vento,Nao,Rico,Compras,1,0,1,0
422,Chuva,Sim,Rico,Cinema,2,1,1,0
423,Vento,Nao,Rico,Compras,1,0,1,0
424,Vento,Nao,Pobre,Cinema,1,0,0,0
425,Chuva,Nao,Rico,Tenis,2,0,1,1
426,Sol,Nao,Pobre,Cinema,0,0,0,0
427,Sol,Sim,Rico,Cinema,0,1,1,0
428,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
429,Sol,Nao,Pobre,Cinema,0,0,0,0
430,Vento,Sim,Rico,Cinema,1,1,1,0
431,Vento,Nao,Rico,Compras,1,0,1,0
432,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
433,Chuva,Sim,Rico,Cinema,2,1,1,0
434,Vento,Nao,Rico,Compras,1,0,1,0
435,Chuva,Nao,Pobre,Cinema,2,0,0,0
436,Vento,Nao,Rico,Compras,1,0,1,0
437,Chuva,Nao,Pobre,Cinema,2,0,0,0
438,Vento,Sim,Rico,Cinema,1,1,1,0
439,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
440,Vento,Nao,Rico,Compras,1,0,1,0
441,Chuva,Sim,Rico,Cinema,2,1,1,0
442,Sol,Nao,Rico,Tenis,0,0,1,0
443,Sol,Nao,Rico,Tenis,0,0,1,0
444,Sol,Sim,Pobre,Cinema,0,1,0,0
445,Sol,Nao,Rico,Tenis,0,0,1,0
446,Sol,Sim,Rico,Cinema,0,1,1,0
447,Sol,Nao,Pobre,Cinema,0,0,0,0
448,Vento,Nao,Rico,Compras,1,0,1,0
449,Chuva,Sim,Rico,Tenis,2,1,1,1
450,Vento,Sim,Pobre,Cinema,1,1,0,0
451,Sol,Nao,Rico,Tenis,0,0,1,0
452,Chuva,Sim,Pobre,Cinema,2,1,0,0
453,Sol,Nao,Pobre,Cinema,0,0,0,0
454,Sol,Sim,Rico,Cinema,0,1,1,0
455,Vento,Sim,Rico,Cinema,1,1,1,0
456,Chuva,Sim,Rico,Cinema,2,1,1,0
457,Chuva,Sim,Pobre,Cinema,2,1,0,0
458,Chuva,Sim,Rico,Cinema,2,1,1,0
459,Vento,Sim,Rico,Cinema,1,1,1,0
460,Vento,Sim,Rico,Cinema,1,1,1,0
461,Sol,Nao,Rico,Tenis,0,0,1,0
462,Sol,Sim,Rico,Cinema,0,1,1,0
463,Vento,Nao,Rico,Compras,1,0,1,0
464,Vento,Sim,Rico,Cinema,1,1,1,0
465,Sol,Nao,Pobre,Cinema,0,0,0,0
466,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
467,Vento,Sim,Pobre,Cinema,1,1,0,0
468,Vento,Nao,Rico,Compras,1,0,1,0
469,Chuva,Nao,Pobre,Cinema,2,0,0,0
470,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
471,Vento,Nao,Rico,Compras,1,0,1,0
472,Sol,Nao,Pobre,Cinema,0,0,0,0
473,Vento,Sim,Pobre,Cinema,1,1,0,0
474,Vento,Nao,Rico,Compras,1,0,1,0
475,Vento,Sim,Rico,Cinema,1,1,1,0
476,Vento,Nao,Rico,Compras,1,0,1,0
477,Sol,Sim,Rico,Cinema,0,1,1,0
478,Sol,Sim,Pobre,Cinema,0,1,0,0
479,Sol,Nao,Pobre,Cinema,0,0,0,0
480,Sol,Sim,Rico,Cinema,0,1,1,0
481,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
482,Vento,Nao,Rico,Compras,1,0,1,0
483,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
484,Sol,Nao,Rico,Tenis,0,0,1,0
485,Chuva,Nao,Pobre,Cinema,2,0,0,0
486,Vento,Nao,Rico,Compras,1,0,1,0
487,Sol,Sim,Rico,Cinema,0,1,1,0
488,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
489,Vento,Nao,Pobre,Cinema,1,0,0,0
490,Sol,Nao,Rico,Tenis,0,0,1,0
491,Chuva,Sim,Rico,Cinema,2,1,1,0
492,Vento,Nao,Pobre,Cinema,1,0,0,0
493,Chuva,Sim,Pobre,Cinema,2,1,0,0
494,Vento,Nao,Pobre,Cinema,1,0,0,0
495,Chuva,Nao,Rico,Ficar em casa,2,0,1,0
496,Sol,Nao,Rico,Tenis,0,0,1,0
497,Sol,Nao,Rico,Compras,0,0,1,1
498,Chuva,Nao,Pobre,Cinema,2,0,0,0
499,Vento,Sim,Rico,Cinema,1,1,1,0
500,Vento,Nao,Rico,Compras,1,0,1,0
